url,type
https://www.mindline.sg/youth/article/im-feeling-depressed-what-should-i-do-what-help-options-or-therapy-is-available-for-me?type=interest,article
https://www.mindline.sg/youth/article/signs-and-symptoms-of-different-types-of-depression?type=interest,article
https://www.mindline.sg/youth/article/7-things-you-need-to-know-about-depression?type=interest,article
https://www.mindline.sg/youth/article/i-feel-sad-all-the-time-does-that-mean-that-i-have-depression?type=interest,article
https://www.mindline.sg/youth/article/types-of-mental-health-problems?type=interest,article
https://www.mindline.sg/youth/article/fighting-depression?type=interest,article
https://www.mindline.sg/youth/article/feeling-lost-heres-what-it-means-and-how-to-find-yourself?type=interest,article
https://www.mindline.sg/youth/article/what-should-i-do-if-i-have-depression-symptoms?type=interest,article
https://www.mindline.sg/youth/article/coping-with-depression?type=interest,article
https://mindline.sg/youth/article/when-stress-leads-to-anxiety-and-depression?type=interest,article
https://mindline.sg/youth/article/understanding-depression?type=interest,video
https://mindline.sg/youth/article/things-people-who-self-harm-want-you-to-know?type=interest,video
https://mindline.sg/youth/article/whats-so-funny-about-mental-illness?type=interest,video
https://mindline.sg/youth/article/the-bridge-between-suicide-and-life?type=interest,video
https://mindline.sg/youth/article/muscle-relaxation?type=interest,video
https://mindline.sg/youth/article/understanding-loneliness?type=interest,video
https://mindline.sg/youth/article/struggling-with-self-worth?type=interest,video
https://mindline.sg/youth/article/overcoming-obstacles?type=interest,video
https://mindline.sg/youth/article/mental-health-is-not-nothing?type=interest,video